Alu Position		                                             S/L N		S/L T
608*			                                             0.068181818	0.11320755
1270*1994*2765*		                                             0.45		0.84
703*			                                             2		        1.33333333
1330*2054*2825*		                                             0.45		0.84
460*			                                             #DIV/0!		#DIV/0!
1270*1994*2765*		                                             0.45		0.84
394*732*2045*		                                             0		        0.06
394*599*		                                             0		        0.06
608*			                                             0.068181818	0.11320755
562*1928*		                                             #DIV/0!		#DIV/0!
823*			                                             0.021126761	0.03947368
1328*			                                             39		        108.333333
1155*			                                             #DIV/0!		#DIV/0!
699*2076*3123*		                                             #VALUE!		#VALUE!
1126*3236*		                                             0.25		0.5
127*482*672*1353*	                                             2.5		4.5
217*                                                                 82                 39.6666667
1445*                                                                1.5                0.77272727
118*349*539*                                                         #DIV/0!            #DIV/0!
469*                                                                 0.105263158        0.11538462
2126*                                                                0.5                0.5
999*                                                                 #DIV/0!            1
34*1415*1967*3169*3424*3954*5169*5830*6621*7139*8128*9214*10440*     1                  0.75
637*                                                                 2.333333333        6.06935123
460*                                                                 4.136363636        5.6
637*                                                                 2.333333333        6.06935123
3869*                                                                3.5                1.33333333
1217*                                                                #DIV/0!            16.6666667
109*                                                                 3                  0.72
2625*                                                                0.030769231        0.15686275
291*1478*1620*1924*2355*4157*6885*8509*                              0.153846154        0.61111111
3854*                                                                #DIV/0!            1.33333333
3854*                                                                #DIV/0!            1.33333333
861*                                                                 0.075              0.14285714
596*775*1068*2099*2605*2908*4128*4422*6094*                          #DIV/0!            #DIV/0!
